epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,650.893,0.66704,0.75686,1.20455,0.73725,0.78134,0.78231,0.52128,1.12005,1.11754,1.46399,0.00040707,0.00040707,0.00040707
66,660.753,0.67114,0.75701,1.21594,0.74643,0.79225,0.79526,0.52238,1.16393,1.0399,1.51013,0.000396071,0.000396071,0.000396071
67,670.59,0.66095,0.74323,1.20353,0.81425,0.77872,0.80884,0.53245,1.15753,1.04968,1.51045,0.000385073,0.000385073,0.000385073
68,680.401,0.64037,0.71589,1.18703,0.75965,0.78382,0.78219,0.51074,1.21771,1.08493,1.55838,0.000374074,0.000374074,0.000374074
69,690.149,0.66532,0.71747,1.19901,0.75771,0.79445,0.79471,0.51547,1.22792,1.06846,1.5729,0.000363075,0.000363075,0.000363075
70,699.913,0.6556,0.7171,1.20097,0.79668,0.79613,0.80569,0.53617,1.1638,1.01979,1.48474,0.000352076,0.000352076,0.000352076
71,709.76,0.64465,0.70687,1.18304,0.81514,0.77275,0.80417,0.54427,1.16667,1.07029,1.50731,0.000341077,0.000341077,0.000341077
72,719.403,0.65298,0.69943,1.19685,0.75421,0.76347,0.78102,0.51738,1.16941,1.13569,1.50838,0.000330078,0.000330078,0.000330078
73,729.045,0.63956,0.68677,1.18391,0.77368,0.75353,0.766,0.52083,1.15635,1.11312,1.50829,0.000319079,0.000319079,0.000319079
74,738.782,0.64291,0.68028,1.18331,0.78254,0.79757,0.80008,0.53107,1.18218,1.04192,1.5212,0.00030808,0.00030808,0.00030808
75,748.504,0.63631,0.68279,1.18505,0.76154,0.77776,0.77788,0.53431,1.16474,1.05309,1.47915,0.000297081,0.000297081,0.000297081
76,758.132,0.6215,0.66136,1.17293,0.81927,0.72652,0.78947,0.5358,1.17847,1.0511,1.48395,0.000286083,0.000286083,0.000286083
