epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,917.142,0.96344,1.07976,1.49321,0.77215,0.73055,0.7474,0.45842,1.24502,1.15257,1.59244,0.000665339,0.000665339,0.000665339
81,927.03,0.94438,1.08644,1.48172,0.71734,0.81099,0.77106,0.46705,1.31395,1.13092,1.684,0.000657963,0.000657963,0.000657963
82,937.028,0.94909,1.10132,1.4959,0.76483,0.73675,0.75832,0.47227,1.30814,1.14184,1.6801,0.00065055,0.00065055,0.00065055
83,947.102,0.99838,1.12574,1.53238,0.72778,0.75212,0.75449,0.47698,1.27422,1.12369,1.61241,0.000643101,0.000643101,0.000643101
84,957.241,0.97281,1.10997,1.5098,0.73627,0.72278,0.76619,0.47431,1.28078,1.19876,1.6221,0.000635617,0.000635617,0.000635617
85,967.255,0.94343,1.08444,1.48955,0.77653,0.72887,0.74733,0.46741,1.29327,1.2199,1.65064,0.000628101,0.000628101,0.000628101
86,977.314,0.93324,1.04521,1.46448,0.70379,0.76293,0.75768,0.46732,1.32552,1.1731,1.69375,0.000620555,0.000620555,0.000620555
87,987.56,0.95001,1.03798,1.47817,0.73027,0.72312,0.74973,0.46961,1.28681,1.18164,1.64118,0.000612981,0.000612981,0.000612981
88,997.593,0.96495,1.05905,1.47911,0.75384,0.72334,0.74713,0.45176,1.36756,1.1979,1.71802,0.00060538,0.00060538,0.00060538
89,1007.5,0.95997,1.05115,1.48127,0.77041,0.72736,0.74888,0.46926,1.28277,1.11876,1.62414,0.000597754,0.000597754,0.000597754
90,1017.56,0.96549,1.08193,1.4901,0.72876,0.75436,0.75496,0.46313,1.30334,1.10861,1.63902,0.000590105,0.000590105,0.000590105
91,1027.6,0.94133,1.0737,1.48617,0.76299,0.74761,0.7688,0.46778,1.30874,1.17793,1.64588,0.000582435,0.000582435,0.000582435
92,1037.5,0.90748,1.04341,1.46446,0.82326,0.73628,0.77848,0.48729,1.29003,1.10674,1.63435,0.000574746,0.000574746,0.000574746
93,1047.55,0.94184,1.05946,1.47582,0.77597,0.78816,0.78751,0.49325,1.26219,1.0934,1.60298,0.00056704,0.00056704,0.00056704
94,1057.66,0.93661,1.0545,1.47635,0.83996,0.73177,0.78126,0.50285,1.27307,1.13027,1.62073,0.000559318,0.000559318,0.000559318
95,1067.76,0.90399,1.01202,1.44333,0.73623,0.74843,0.75732,0.47737,1.25829,1.19497,1.60105,0.000551584,0.000551584,0.000551584
96,1077.89,0.94087,1.0491,1.47061,0.81067,0.75396,0.7753,0.49482,1.23921,1.11885,1.59198,0.000543837,0.000543837,0.000543837
97,1087.96,0.93599,1.04953,1.47049,0.74513,0.73739,0.74978,0.47255,1.23991,1.11944,1.59462,0.000536081,0.000536081,0.000536081
98,1097.96,0.91764,1.04957,1.46847,0.72251,0.70743,0.73246,0.45975,1.33077,1.20133,1.69126,0.000528318,0.000528318,0.000528318
99,1107.99,0.93967,1.071,1.48116,0.79217,0.73024,0.77012,0.47728,1.30002,1.11989,1.66731,0.000520548,0.000520548,0.000520548
100,1117.99,0.91935,1.01975,1.46591,0.76478,0.7629,0.78094,0.50258,1.27415,1.13546,1.62932,0.000512775,0.000512775,0.000512775
101,1128.02,0.93649,1.02911,1.46177,0.79059,0.74483,0.76992,0.48877,1.24188,1.12743,1.5813,0.000505,0.000505,0.000505
102,1138.07,0.93414,1.0364,1.4705,0.7452,0.76092,0.75257,0.47246,1.26972,1.16781,1.62671,0.000497225,0.000497225,0.000497225
103,1148.29,0.9026,1.01145,1.44085,0.76572,0.74656,0.75419,0.48601,1.2616,1.14385,1.60726,0.000489452,0.000489452,0.000489452
104,1158.46,0.90797,1.0021,1.44584,0.77969,0.71748,0.7581,0.47556,1.28883,1.1331,1.62376,0.000481682,0.000481682,0.000481682
105,1168.65,0.91879,1.02977,1.4542,0.74707,0.76798,0.76826,0.49132,1.26951,1.11177,1.60455,0.000473919,0.000473919,0.000473919
106,1178.78,0.90625,1.01381,1.44903,0.75014,0.71519,0.74665,0.47012,1.31178,1.19203,1.64426,0.000466163,0.000466163,0.000466163
107,1189.03,0.91892,1.006,1.45383,0.71658,0.74326,0.75247,0.48058,1.27945,1.15213,1.60373,0.000458416,0.000458416,0.000458416
108,1199.15,0.89923,0.98019,1.44394,0.81936,0.72362,0.77351,0.49273,1.2826,1.09163,1.61133,0.000450682,0.000450682,0.000450682
109,1209.27,0.92741,1.01469,1.44725,0.77131,0.75505,0.76996,0.48871,1.27744,1.07786,1.61747,0.00044296,0.00044296,0.00044296
110,1219.59,0.92359,1.03528,1.46243,0.6869,0.74997,0.724,0.46497,1.27747,1.13101,1.62148,0.000435254,0.000435254,0.000435254
111,1229.77,0.88413,0.97904,1.43836,0.72283,0.73183,0.75006,0.48193,1.25585,1.17523,1.59338,0.000427565,0.000427565,0.000427565
112,1239.82,0.89376,1.00173,1.45157,0.75537,0.74469,0.75623,0.4786,1.27765,1.15376,1.64048,0.000419895,0.000419895,0.000419895
113,1250.07,0.87739,0.96979,1.42246,0.76682,0.72079,0.75371,0.48626,1.29298,1.13263,1.63867,0.000412246,0.000412246,0.000412246
114,1260.13,0.90212,1.01359,1.44691,0.78203,0.7139,0.75741,0.49007,1.24871,1.11261,1.59969,0.00040462,0.00040462,0.00040462
115,1270.35,0.88859,0.98183,1.44563,0.77738,0.74082,0.76141,0.4924,1.24472,1.09711,1.58965,0.000397019,0.000397019,0.000397019
116,1280.43,0.90436,0.98771,1.42949,0.73849,0.77186,0.74937,0.48561,1.2536,1.14806,1.60115,0.000389445,0.000389445,0.000389445
117,1290.76,0.90185,0.99354,1.43562,0.77449,0.73841,0.76198,0.48733,1.25661,1.13562,1.60886,0.000381899,0.000381899,0.000381899
118,1300.89,0.92982,1.00145,1.44941,0.78876,0.745,0.76983,0.49366,1.26605,1.10404,1.62213,0.000374383,0.000374383,0.000374383
119,1310.88,0.89894,0.95959,1.42075,0.77265,0.7817,0.7739,0.49478,1.22426,1.12795,1.58909,0.000366899,0.000366899,0.000366899
120,1321.1,0.88011,0.97451,1.43097,0.79172,0.76063,0.78454,0.50302,1.20968,1.09921,1.57577,0.00035945,0.00035945,0.00035945
121,1331.24,0.88103,0.95156,1.42566,0.79214,0.76338,0.78451,0.50718,1.19717,1.09277,1.56542,0.000352037,0.000352037,0.000352037
122,1341.53,0.91218,0.98311,1.44736,0.7474,0.77294,0.78864,0.5019,1.21852,1.09477,1.57338,0.000344661,0.000344661,0.000344661
123,1351.76,0.86967,0.94501,1.421,0.8196,0.74669,0.78932,0.49821,1.25315,1.10787,1.58716,0.000337325,0.000337325,0.000337325
124,1361.99,0.8832,0.97272,1.43277,0.74926,0.7608,0.77109,0.4847,1.23701,1.14221,1.58901,0.00033003,0.00033003,0.00033003
125,1372.3,0.89621,0.97894,1.43617,0.77869,0.75077,0.77008,0.48857,1.24514,1.11552,1.59716,0.000322778,0.000322778,0.000322778
126,1382.47,0.86863,0.93953,1.41199,0.73849,0.76041,0.76769,0.49395,1.23212,1.1052,1.58213,0.000315572,0.000315572,0.000315572
127,1392.68,0.87491,0.94728,1.41994,0.78612,0.77566,0.7781,0.50113,1.23031,1.11779,1.57344,0.000308412,0.000308412,0.000308412
128,1402.95,0.8754,0.93555,1.42666,0.81643,0.76742,0.78194,0.50055,1.22455,1.09663,1.57769,0.0003013,0.0003013,0.0003013
129,1413.36,0.90284,0.96835,1.44026,0.79859,0.76085,0.77327,0.49641,1.2021,1.07805,1.54988,0.000294239,0.000294239,0.000294239
130,1423.64,0.89302,0.97878,1.43786,0.83143,0.76459,0.79427,0.5058,1.21827,1.06177,1.55084,0.00028723,0.00028723,0.00028723
131,1433.92,0.87671,0.9571,1.43658,0.75324,0.78113,0.78228,0.50539,1.19956,1.07758,1.53012,0.000280275,0.000280275,0.000280275
132,1444.18,0.88516,0.9595,1.43286,0.84547,0.73762,0.77831,0.50606,1.20289,1.1009,1.54167,0.000273375,0.000273375,0.000273375
133,1454.42,0.84474,0.91776,1.39524,0.80994,0.74451,0.77036,0.50326,1.20814,1.12443,1.5631,0.000266532,0.000266532,0.000266532
134,1464.61,0.84999,0.90833,1.39371,0.75731,0.75432,0.77182,0.49869,1.21637,1.1329,1.57171,0.000259748,0.000259748,0.000259748
135,1474.92,0.88108,0.95191,1.41767,0.77459,0.77746,0.78775,0.50148,1.24349,1.08802,1.59124,0.000253024,0.000253024,0.000253024
